CONTA;IC1;TIPO1;IC2;TIPO2;IC3;TIPO3;IC4;TIPO4;IC5;TIPO5;IC6;TIPO6;IC7;TIPO7;VALOR;TIPO_VALOR;NATUREZA_VALOR;MUNICIPIO;ANO;MES
622130400;20231;PO;1031.0;FS;10010000.0;FR;31901144.0;ND;0.0;0.0;0.0;0;0.0;0.0;2974.93;ending_balance;C;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;31901145.0;ND;0.0;0.0;0.0;0;0.0;0.0;3360.56;ending_balance;C;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;31901147.0;ND;0.0;0.0;0.0;0;0.0;0.0;35763.1;ending_balance;C;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;31901175.0;ND;0.0;0.0;0.0;0;0.0;0.0;430478.08;ending_balance;C;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;31901302.0;ND;0.0;0.0;0.0;0;0.0;0.0;205166.59;ending_balance;C;1702109EX;2021;02
631710000;20231;PO;1031.0;FS;10010000.0;FR;31909400.0;ND;0.0;0.0;2020.0;AI;0.0;0.0;4373.72;beginning_balance;D;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;31909499.0;ND;0.0;0.0;0.0;0;0.0;0.0;99382.36;ending_balance;C;1702109EX;2021;02
631710000;20231;PO;1031.0;FS;10010000.0;FR;33903000.0;ND;0.0;0.0;2020.0;AI;0.0;0.0;51884.49;beginning_balance;C;1702109EX;2021;02
631710000;20231;PO;1031.0;FS;10010000.0;FR;33903000.0;ND;0.0;0.0;2020.0;AI;0.0;0.0;51884.49;beginning_balance;D;1702109EX;2021;02
631710000;20231;PO;1031.0;FS;10010000.0;FR;33903900.0;ND;0.0;0.0;2020.0;AI;0.0;0.0;20719.48;beginning_balance;D;1702109EX;2021;02
631710000;20231;PO;1031.0;FS;10010000.0;FR;33903900.0;ND;0.0;0.0;2020.0;AI;0.0;0.0;0.0;ending_balance;C;1702109EX;2021;02
631710000;20231;PO;1031.0;FS;10010000.0;FR;31909400.0;ND;0.0;0.0;2020.0;AI;0.0;0.0;0.0;ending_balance;C;1702109EX;2021;02
631710000;20231;PO;1031.0;FS;10010000.0;FR;33903000.0;ND;0.0;0.0;2020.0;AI;0.0;0.0;0.0;ending_balance;C;1702109EX;2021;02
712310200;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;1882613.6;beginning_balance;D;1702109EX;2021;02
712310200;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;1882613.6;ending_balance;D;1702109EX;2021;02
721110000;20231;PO;10010000.0;FR;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;1319522.47;beginning_balance;D;1702109EX;2021;02
721110000;20231;PO;10010000.0;FR;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;1317436.47;period_change;D;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;31911311.0;ND;0.0;0.0;0.0;0;0.0;0.0;57600.7;ending_balance;C;1702109EX;2021;02
721110000;20231;PO;10010000.0;FR;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;2636958.94;ending_balance;D;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;33504100.0;ND;0.0;0.0;0.0;0;0.0;0.0;9000.0;ending_balance;C;1702109EX;2021;02
721110000;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;134592.44;beginning_balance;D;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;33901400.0;ND;0.0;0.0;0.0;0;0.0;0.0;850.0;ending_balance;C;1702109EX;2021;02
721110000;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;134592.44;ending_balance;D;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;33903001.0;ND;0.0;0.0;0.0;0;0.0;0.0;73923.9;ending_balance;C;1702109EX;2021;02
812310201;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;68369.32;beginning_balance;D;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;33903016.0;ND;0.0;0.0;0.0;0;0.0;0.0;6745.0;ending_balance;C;1702109EX;2021;02
812310201;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;1682040.45;beginning_balance;C;1702109EX;2021;02
812310201;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;164564.4;period_change;D;1702109EX;2021;02
812310201;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;1449106.73;ending_balance;C;1702109EX;2021;02
812310202;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;268942.47;beginning_balance;C;1702109EX;2021;02
812310202;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;164564.4;period_change;C;1702109EX;2021;02
812310202;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;433506.87;ending_balance;C;1702109EX;2021;02
821110100;20231;PO;10010000.0;FR;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;1310463.35;beginning_balance;C;1702109EX;2021;02
821110100;20231;PO;10010000.0;FR;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;16065389.14;beginning_balance;D;1702109EX;2021;02
621200000;10131;PO;10010000.0;FR;21290011.0;NR;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;ending_balance;C;1702109EX;2021;02
621200000;20231;PO;10010000.0;FR;13210011.0;NR;0.0;0;0.0;0.0;0.0;0;0.0;0.0;42.61;beginning_balance;C;1702109EX;2021;02
621200000;20231;PO;10010000.0;FR;13210011.0;NR;0.0;0;0.0;0.0;0.0;0;0.0;0.0;38.13;period_change;C;1702109EX;2021;02
